target,variants,category
ASAP,"빠르게,빨리,조속히,아삽,아쌉",업무관리
OKR,"오케이알,목표 및 핵심 결과 지표",업무관리
KPI,"케이피아이,성과 지표",업무관리
Align,"얼라인,맞추다,정렬,싱크맞추기",업무관리
Resource,"리소스,인력,자원,리소스상황",업무관리
Jira,"지라,지라치다,티켓,티켓팅",업무관리
Slack,"슬랙,디엠,스레드",업무관리
Due Date,"듀데잇,마감일,데드라인",업무관리
C-Level,"씨레벨,경영진,C레벨",업무관리
Lean,"린,린하게,효율적으로,린프로세스",업무관리
Retrospective,"회고,회고미팅,레트로",업무관리
Agile,"애자일,애자일하게,애자일방법론",업무관리
Lessons Learned,"레슨런,회고교훈",업무관리
All-rounder,"올라운더,멀티플레이어",업무관리
Milestone,"마일스톤,단기마일스톤,키마일스톤",업무관리
A/B Test,"에이비테스트,AB테스트,스플릿테스트",업무관리
Issue,"이슈,이슈라이징,현안",업무관리
Kickoff,"킥오프,킥오프미팅",업무관리
R&R,"알엔알,역할과책임,롤앤리스폰서빌리티",업무관리
Tapping,"탭핑,간보기,탐색",업무관리
Arrange,"어레인지,조율,세팅",업무관리
Stance,"스탠스,입장,포지션",업무관리
Attitude,"애티튜드,태도,업무자세",업무관리
Coffee Chat,"커피챗,티타임,원온원,1:1",업무관리
Spec Out,"스펙아웃,기능제외,스코프다운",업무관리
Break Down,"브레이크다운,세분화,브레이크다운하다",업무관리
Risk Hedge,"리스크헷지,리스크관리",업무관리
Rough,"러프하다,대략적으로,러프하게",업무관리
Relevance,"렐러번스,관련성,연관성",업무관리
Hybrid Work,"하이브리드근무,하이브리드워크",업무관리
Appendix,"어펜딕스,부록",업무관리
Valuation,"밸류에이션,기업가치평가",업무관리
Seamless,"심리스하다,매끄럽게,심리스경험",업무관리
Performance,"퍼포먼스,성과,실적",업무관리
Reference,"레퍼,레퍼런스,레퍼참고",업무관리
Next Week,"차주,차주까지,넥스트위크",업무관리
Ping,"핑,연락,핑주세요",업무관리
Confirm,"컨펌,승인,확인",업무관리
Stakeholder,"스테이크홀더,이해관계자",업무관리
Ownership,"오너십,주도권,주인의식",업무관리
Buy-in,"바이인,동의확보,공감대형성",업무관리
DRI,"디알아이,직책임자,직접책임자",업무관리
Roadmap,"로드맵,일정계획,장기계획",업무관리
Timeline,"타임라인,일정표",업무관리
Backlog,"백로그,작업목록",업무관리
Grooming,"그루밍,리파인먼트,정제회의",업무관리
Priority,"프라이오리티,우선순위,P0,P1,P2",업무관리
Escalation,"에스컬레이션,상향보고,이슈격상",업무관리
Dependency,"디펜던시,의존성",업무관리
All-hands,"올핸즈,전사회의,타운홀",업무관리
Townhall,"타운홀,전사미팅",업무관리
Offsite,"오프사이트,워크샵,리트릿",업무관리
Sync,"싱크,싱크업,동기화",업무관리
Async,"어싱크,비동기,비실시간",업무관리
FYI,"에프와이아이,참고,참고바람",업무관리
TL;DR,"티엘디알,요약하면",업무관리
TBD,"티비디,미정,추후결정",업무관리
TBC,"티비씨,추가확인,추후공지",업무관리
TBA,"티비에이,추후공지",업무관리
EOD,"이오디,업무마감,당일마감",업무관리
COB,"씨오비,업무종료시각,Close of Business",업무관리
EOW,"이오더블유,주말마감,주말까지",업무관리
EOM,"이오엠,월말마감,월말까지",업무관리
ETA,"이티에이,도착예정,완료예정시각",업무관리
TAT,"티에이티,처리시간,턴어라운드타임",업무관리
Heads-up,"헤즈업,미리알림,주의환기",업무관리
Nudge,"너지,살짝촉구,리마인드",업무관리
Gentle Reminder,"젠틀리마인더,부드러운리마인드",업무관리
DR,"디알,재난복구,디재스터리커버리",업무관리
Exit,"엑시트,종료,투자회수",스타트업
Pivot,"피벗,전환",스타트업
MVP,"엠브이피,최소기능제품",스타트업
Scale-Up,"스케일업,확장",스타트업
Funding-worthy,"펀딩감,투자가치",스타트업
Ideation,"아이데이션,아이디어생성",스타트업
Demoday,"데모데이,데모",스타트업
Acceleration,"액셀러레이션,액셀",스타트업
Incubating,"인큐베이팅,인큐브",스타트업
Series Funding,"시리즈A,시리즈B,투자라운드",스타트업
Runway,"런웨이,자금소진기간",스타트업
Burn Rate,"번레이트,현금소진율",스타트업
Term Sheet,"텀시트,투자조건서",스타트업
Cap Table,"캡테이블,지분구조표",스타트업
Valuable,"밸류어블,가치있는",스타트업
PMF,"피엠에프,제품시장적합성",스타트업
North Star Metric,"노스스타메트릭,NSM,핵심지표",스타트업
Go-to-Market,"고투마켓,GTM,시장진입전략",스타트업
Soft Launch,"소프트런치,소프트런칭",스타트업
Beta,"베타,베타런치,클로즈드베타",스타트업
GA,"지에이,General Availability,정식출시",스타트업
Pilot,"파일럿,시범운영",스타트업
Funnel,"퍼널,전환퍼널",스타트업
Conversion,"컨버전,전환",스타트업
Activation,"액티베이션,활성화",스타트업
Churn,"처언,이탈,이탈률",스타트업
CAC,"캑,획득비용,고객획득비용",스타트업
LTV,"엘티브이,생애가치,고객생애가치",스타트업
ARPU,"아르푸,가입자평균매출",스타트업
MAU,"엠에이유,월간활성이용자",스타트업
DAU,"디에이유,일간활성이용자",스타트업
WAU,"더블유에이유,주간활성",스타트업
NPS,"엔피에스,추천지수",스타트업
CSAT,"씨샛,만족도",스타트업
ROAS,"로아스,광고수익률",스타트업
ROI,"아르오아이,투자수익률",스타트업
Data Analyst,"데분,데이터분석가",개발/기술
Data Scientist,"데싸,데이터사이언티스트",개발/기술
Data Engineer,"데엔,데이터엔지니어",개발/기술
Sprint,"스프린트,스프린트사이클",개발/기술
Cohort Analysis,"코호트분석,코호트",개발/기술
API,"에이피아이,API",개발/기술
Cloud Computing,"클라우드컴퓨팅,클라우드",개발/기술
CI/CD,"씨아이씨디,지속적통합/배포",개발/기술
Pipeline,"파이프라인,배포파이프라인",개발/기술
Monolith,"모놀리스,모놀리식",개발/기술
Microservices,"마이크로서비스,MSA",개발/기술
Refactor,"리팩터,리팩토링",개발/기술
Tech Debt,"테크뎁트,기술부채",개발/기술
Hotfix,"핫픽스,긴급패치",개발/기술
Rollback,"롤백,되돌리기",개발/기술
Rollout,"롤아웃,배포",개발/기술
Feature Flag,"피처플래그,기능플래그,토글",개발/기술
Canary,"카나리,카나리아배포",개발/기술
Blue-Green,"블루그린,블루그린배포",개발/기술
Rate Limit,"레이트리밋,요청제한",개발/기술
Throttling,"스로틀링,제한",개발/기술
Load Test,"로드테스트,부하테스트",개발/기술
Stress Test,"스트레스테스트,압박테스트",개발/기술
Unit Test,"유닛테스트,단위테스트",개발/기술
Integration Test,"통합테스트,인티그레이션테스트",개발/기술
Regression Test,"회귀테스트,리그레션",개발/기술
Smoke Test,"스모크테스트,연기테스트",개발/기술
E2E Test,"엔드투엔드,종단간테스트",개발/기술
Staging,"스테이징,스테이징환경",개발/기술
Production,"프로덕션,실서버,운영",개발/기술
UAT,"유저인수테스트,사용자인수",개발/기술
QA,"큐에이,품질보증",개발/기술
QC,"큐씨,품질관리",개발/기술
Idempotent,"아이덴포턴트,멱등",개발/기술
Eventually Consistent,"이벤트추얼컨시스턴시,결국적일관성",개발/기술
ETL,"이에틸,추출변환적재",개발/기술
ELT,"이에엘티,추출적재변환",개발/기술
Data Lake,"데이터레이크,레이크",개발/기술
Data Warehouse,"데이터웨어하우스,DWH",개발/기술
CDC,"씨디씨,변경데이터포집",개발/기술
Backfill,"백필,재적재",개발/기술
Batch,"배치,일괄처리",개발/기술
Streaming,"스트리밍,실시간처리",개발/기술
Observability,"옵저버빌리티,가시성",개발/기술
Logging,"로깅,로그수집",개발/기술
Tracing,"트레이싱,분산추적",개발/기술
Metrics,"메트릭스,지표수집",개발/기술
SRE,"에스알이,사이트신뢰성엔지니어링",개발/기술
SLA,"에스엘에이,서비스수준협약",개발/기술
SLO,"에스엘오,서비스수준목표",개발/기술
SLI,"에스엘아이,서비스수준지표",개발/기술
Incident,"인시던트,장애,사건",개발/기술
SEV,"세브,심각도,Severity",개발/기술
On-call,"온콜,당직",개발/기술
